Unique_Advisor_Id,Month,Activity_Type,Activity_Count
1000103,2015 / 01,11,3
1000103,2015 / 02,22,3
1000103,2015 / 06,11,3
1000103,2015 / 06,17,3
1000103,2015 / 06,26,3
1000103,2015 / 09,13,3
1000103,2015 / 09,6,3
1000103,2015 / 10,22,3
1000103,2015 / 12,13,3
1000103,2016 / 02,26,6
1000103,2016 / 03,13,6
1000103,2016 / 04,13,3
1000103,2016 / 06,22,3
1000103,2016 / 07,25,3
1000103,2016 / 07,26,3
1000103,2016 / 08,13,3
1000103,2016 / 08,22,3
1000103,2016 / 08,25,3
1000103,2016 / 09,22,3
1000103,2016 / 10,26,3
1000103,2016 / 11,26,6
1000332,2015 / 02,22,3
1000332,2015 / 04,11,6
1000332,2015 / 04,22,3
1000332,2015 / 04,26,3
1000332,2015 / 05,26,3
1000332,2015 / 07,22,6
1000332,2015 / 08,26,3
1000332,2015 / 09,1,3
1000332,2015 / 09,22,3
1000332,2015 / 11,26,3
1000332,2016 / 01,1,3
1000332,2016 / 03,26,3
1000332,2016 / 05,26,3
1000367,2016 / 11,26,3
1000373,2015 / 03,11,3
1000373,2015 / 03,26,3
1000373,2015 / 05,26,3
1000373,2015 / 08,1,3
1000373,2015 / 08,25,3
1000373,2015 / 11,25,3
1000373,2016 / 01,25,3
1000373,2016 / 01,26,3
1000373,2016 / 03,25,3
1000373,2016 / 03,9,3
1000373,2016 / 05,26,6
1000373,2016 / 06,26,3
1000373,2016 / 07,26,3
1000373,2016 / 08,25,6
1000373,2016 / 09,26,6
1000373,2016 / 10,26,3
1000373,2016 / 11,25,3
1000373,2016 / 11,26,3
1000373,2016 / 12,26,3
1000474,2015 / 08,26,3
1000474,2016 / 02,26,3
1000474,2016 / 04,17,3
1000474,2016 / 04,26,3
1000474,2016 / 05,26,6
1000474,2016 / 06,26,3
1000474,2016 / 07,26,3
1000474,2016 / 08,25,3
1000474,2016 / 09,26,3
1000474,2016 / 10,25,3
1000474,2016 / 11,26,3
1000533,2015 / 02,26,3
1000533,2015 / 05,26,3
1000533,2015 / 06,11,3
1000533,2015 / 06,22,3
1000533,2015 / 08,26,3
1000533,2015 / 09,22,3
1000533,2015 / 12,26,3
1000533,2016 / 02,26,3
1000533,2016 / 03,26,3
1000533,2016 / 04,26,3
1000533,2016 / 06,26,3
1000533,2016 / 07,26,3
1000533,2016 / 09,25,3
1000533,2016 / 09,26,3
1000541,2015 / 08,26,3
1000541,2015 / 10,26,3
1000541,2016 / 02,26,3
1000541,2016 / 03,26,3
1000541,2016 / 04,26,6
1000541,2016 / 05,26,3
1000541,2016 / 06,26,3
1000541,2016 / 07,26,3
1000541,2016 / 08,26,3
1000541,2016 / 09,26,3
1000541,2016 / 10,26,3
1000541,2016 / 11,26,3
1000973,2015 / 02,11,3
1000973,2015 / 07,22,3
1000973,2015 / 07,25,3
1000973,2015 / 07,26,6
1000973,2015 / 08,26,15
1000973,2015 / 09,16,3
1000973,2015 / 09,26,3
1000973,2015 / 10,1,6
1000973,2015 / 10,22,3
1000973,2015 / 10,25,3
1000973,2015 / 10,26,3
1000973,2015 / 11,25,3
1000973,2015 / 12,1,3
1000973,2015 / 12,25,3
1000973,2016 / 01,1,3
1000973,2016 / 01,26,3
1000973,2016 / 02,26,3
1000973,2016 / 03,25,3
1000973,2016 / 04,25,3
1000973,2016 / 06,26,3
1000973,2016 / 07,25,3
1000973,2016 / 08,26,3
1000973,2016 / 09,16,3
1000973,2016 / 09,26,3
1000973,2016 / 11,25,3
1000973,2016 / 12,25,3
1001058,2015 / 08,1,3
1001058,2015 / 09,26,3
1001058,2015 / 11,26,3
1001058,2016 / 02,26,3
1001058,2016 / 03,26,3
1001058,2016 / 04,26,3
1001058,2016 / 05,1,3
1001058,2016 / 05,26,3
1001058,2016 / 06,11,3
1001058,2016 / 06,26,3
1001058,2016 / 07,11,3
1001058,2016 / 07,26,3
1001058,2016 / 08,11,3
1001058,2016 / 08,26,3
1001058,2016 / 09,11,9
1001058,2016 / 09,26,9
1001058,2016 / 10,11,3
1001058,2016 / 10,26,3
1001058,2016 / 11,25,3
1001118,2015 / 11,17,3
1001119,2016 / 03,13,3
1001233,2015 / 03,11,3
1001233,2015 / 03,26,3
1001233,2015 / 05,22,3
1001233,2015 / 07,26,3
1001233,2015 / 10,26,3
1001233,2016 / 01,26,3
1001233,2016 / 04,26,3
1001233,2016 / 07,26,3
1001478,2015 / 06,22,3
1001478,2015 / 08,26,3
1001478,2016 / 01,26,3
1001478,2016 / 02,22,3
1001478,2016 / 03,25,3
1001478,2016 / 03,26,3
1001478,2016 / 05,22,3
1001478,2016 / 05,26,3
1001478,2016 / 06,26,3
1001478,2016 / 07,26,3
1001478,2016 / 08,11,3
1001478,2016 / 08,25,3
1001478,2016 / 10,26,3
1001478,2016 / 11,26,6
1001667,2015 / 06,11,3
1001667,2015 / 06,25,3
1001667,2016 / 01,26,3
1001667,2016 / 03,22,3
1001667,2016 / 03,26,3
1001667,2016 / 08,26,3
1001667,2016 / 09,22,3
1001667,2016 / 10,26,3
1001667,2016 / 11,26,3
1001726,2015 / 06,26,3
1001726,2015 / 10,26,3
1001726,2016 / 02,26,3
1001726,2016 / 03,22,3
1001726,2016 / 04,26,3
1001726,2016 / 05,25,3
1001726,2016 / 05,26,3
1001726,2016 / 06,25,6
1001726,2016 / 09,22,3
1001726,2016 / 09,25,3
1001726,2016 / 11,25,3
1001726,2016 / 11,26,6
1001991,2015 / 06,25,3
1001991,2015 / 11,26,3
1001991,2016 / 01,26,3
1001991,2016 / 03,26,3
1001991,2016 / 06,26,3
1001991,2016 / 09,26,3
1001991,2016 / 11,26,3
1002121,2015 / 04,26,3
1002121,2015 / 07,26,6
1002121,2015 / 08,26,3
1002121,2015 / 10,26,3
1002121,2016 / 01,26,3
1002121,2016 / 04,26,3
1002121,2016 / 08,26,3
1002143,2015 / 01,17,3
1002143,2015 / 06,22,3
1002143,2015 / 08,26,3
1002143,2015 / 11,26,3
1002143,2015 / 12,13,6
1002143,2015 / 12,26,3
1002143,2016 / 01,26,3
1002143,2016 / 03,26,3
1002143,2016 / 06,26,3
1002143,2016 / 09,26,3
1002143,2016 / 10,26,3
1002143,2016 / 11,26,6
1002171,2015 / 03,11,3
1002171,2015 / 03,26,3
1002171,2015 / 05,22,3
1002171,2015 / 08,25,6
1002171,2016 / 01,26,3
1002171,2016 / 03,26,3
1002171,2016 / 08,26,3
1002171,2016 / 10,26,3
1002337,2015 / 04,26,3
1002337,2015 / 05,22,3
1002337,2015 / 07,26,3
1002337,2015 / 11,22,3
1002337,2015 / 11,26,3
1002337,2016 / 01,26,6
1002337,2016 / 02,26,3
1002337,2016 / 03,26,3
1002337,2016 / 05,22,3
1002337,2016 / 07,26,6
1002337,2016 / 09,26,3
1002337,2016 / 11,26,3
1002799,2015 / 04,26,3
1002799,2015 / 06,26,3
1002799,2016 / 01,26,3
1002799,2016 / 03,26,3
1002799,2016 / 06,26,3
1002799,2016 / 08,26,3
1002821,2015 / 07,1,3
1002821,2016 / 09,26,3
1002821,2016 / 11,11,3
1002821,2016 / 11,26,3
1002831,2015 / 05,22,6
1002831,2015 / 07,16,3
1002831,2015 / 07,26,3
1002831,2015 / 09,16,3
1002831,2015 / 11,22,3
1002831,2015 / 11,25,3
1002831,2016 / 05,16,3
1002831,2016 / 06,26,3
1002831,2016 / 08,16,3
1002831,2016 / 10,25,3
1002831,2016 / 10,5,3
1002920,2015 / 06,26,3
1002920,2016 / 03,26,3
1002920,2016 / 04,26,3
1002920,2016 / 05,26,6
1002920,2016 / 06,26,3
1002920,2016 / 07,26,3
1002920,2016 / 08,26,3
1002920,2016 / 09,26,3
1002920,2016 / 10,26,3
1002920,2016 / 11,26,3
1003233,2015 / 06,11,3
1003233,2015 / 06,26,3
1003233,2015 / 11,26,3
1003233,2016 / 01,26,3
1003233,2016 / 02,26,6
1003233,2016 / 04,26,3
1003233,2016 / 05,26,9
1003233,2016 / 06,26,6
1003233,2016 / 07,26,3
1003233,2016 / 08,26,3
1003233,2016 / 09,22,3
1003233,2016 / 09,26,3
1003233,2016 / 10,25,3
1003233,2016 / 11,26,6
1003335,2015 / 02,11,3
1003335,2015 / 02,22,3
1003335,2015 / 04,11,3
1003335,2015 / 04,25,3
1003335,2015 / 05,22,3
1003335,2015 / 05,26,3
1003335,2015 / 06,11,3
1003335,2015 / 06,22,3
1003335,2015 / 06,26,3
1003335,2015 / 07,12,3
1003335,2015 / 07,22,3
1003335,2015 / 07,26,3
1003335,2015 / 08,1,3
1003335,2015 / 08,11,3
1003335,2015 / 08,22,3
1003335,2015 / 08,26,3
1003335,2015 / 09,11,3
1003335,2015 / 09,22,6
1003335,2015 / 10,13,3
1003335,2015 / 10,22,3
1003335,2015 / 10,26,3
1003335,2015 / 11,26,3
1003335,2015 / 12,13,3
1003335,2016 / 03,26,3
1003335,2016 / 04,26,3
1003335,2016 / 05,22,6
1003335,2016 / 06,26,3
1003335,2016 / 08,13,3
1003335,2016 / 08,22,3
1003335,2016 / 08,25,3
1003335,2016 / 08,26,9
1003335,2016 / 10,26,6
1003335,2016 / 11,11,3
1003335,2016 / 11,13,3
1003335,2016 / 11,22,6
1003335,2016 / 11,26,3
100337,2016 / 05,26,3
1003532,2015 / 06,26,3
1003532,2016 / 02,26,3
1003532,2016 / 08,26,3
1003692,2015 / 04,11,3
1003692,2015 / 04,26,6
1003692,2015 / 06,11,3
1003692,2015 / 06,22,6
1003692,2015 / 06,26,3
1003692,2015 / 07,12,3
1003692,2015 / 07,22,3
1003692,2015 / 07,26,6
1003692,2015 / 08,26,3
1003692,2015 / 09,13,6
1003692,2015 / 09,22,3
1003692,2015 / 10,22,6
1003692,2015 / 11,22,3
1003692,2015 / 12,22,3
1003692,2016 / 03,13,3
1003692,2016 / 04,22,3
1003692,2016 / 07,26,6
1003692,2016 / 09,22,3
1003692,2016 / 09,26,3
1003692,2016 / 10,22,3
1003692,2016 / 10,25,3
1003692,2016 / 11,22,3
1003692,2016 / 11,26,3
1004186,2015 / 03,16,3
1004186,2015 / 04,11,3
1004186,2015 / 06,1,3
1004186,2015 / 06,25,3
1004186,2015 / 06,26,3
1004186,2016 / 06,26,3
1004186,2016 / 08,16,3
1004186,2016 / 09,25,3
1004186,2016 / 11,25,3
