Unique_Investment_Id,Morningstar Category,Month,Investment,Rating,1 Yr % Rank,3 Yr % Rank,5 Yr % Rank,10 Yr % Rank,1 Yr Return,3 Yr Return,5 Yr Return,10 Yr Return,1 Yr Excess Return vs Primary Ix,3 Yr Excess Return vs Primary Ix,5 Yr Excess Return vs Primary Ix,10 Yr Excess Return vs Primary Ix,1 Yr Excess Return vs Category Ix,3 Yr Excess Return vs Category Ix,5 Yr Excess Return vs Category Ix,10 Yr Excess Return vs Category Ix,Net Flows
11517,US Fund China Region,2015 / 01,Invesco Greater China R5,2,88,73,82,,-1.266491,5.156049,3.368505,,-18.251687,-4.351661,-4.182195,,-19.598927,-3.062672,-2.218734,,-2785691
11517,US Fund China Region,2015 / 02,Invesco Greater China R5,2,88,71,80,,-5.398281,3.365033,3.085075,,-21.966066,-4.50024,-4.844217,,-24.440463,-3.732307,-2.717431,,-41248406
11517,US Fund China Region,2015 / 03,Invesco Greater China R5,2,82,73,80,,5.262,6.712564,2.531356,,-13.32578,-3.444401,-4.430941,,-18.736656,-3.835977,-2.660131,,-66946984
11517,US Fund China Region,2015 / 04,Invesco Greater China R5,2,45,74,61,,31.871233,11.586655,6.146404,,-0.618948,-2.451617,-3.17177,,-16.184466,-3.447366,-2.418043,,161312871
11517,US Fund China Region,2015 / 05,Invesco Greater China R5,2,49,71,67,,25.576027,15.039352,7.224281,,1.411188,-1.719549,-3.220432,,-10.645269,-2.863178,-1.740341,,192212800
11517,US Fund China Region,2015 / 06,Invesco Greater China R5,2,42,59,69,,19.465579,13.757192,6.643362,,4.270553,-0.583616,-2.676027,,-5.146187,-1.109997,-0.802058,,12181595
11517,US Fund China Region,2015 / 07,Invesco Greater China R5,2,27,59,69,,5.953085,11.166839,3.648846,,5.037716,0.522611,-2.651449,,3.072839,1.098832,-0.482465,,-348533117
11517,US Fund China Region,2015 / 08,Invesco Greater China R5,3,5,25,59,,-2.835486,8.643057,2.117571,,8.15726,2.011777,-2.07129,,6.508845,1.912939,-2.64E-02,,-431529586
11517,US Fund China Region,2015 / 09,Invesco Greater China R5,3,1,19,64,,4.3807,6.749479,-0.260515,,10.975488,3.276132,-1.926729,,9.419234,2.926363,-0.25842,,-91376597
11517,US Fund China Region,2015 / 10,Invesco Greater China R5,3,8,43,67,,6.934457,6.882028,0.284116,,10.252982,1.128777,-2.31542,,7.631121,1.968497,-0.692898,,-31350066
11517,US Fund China Region,2015 / 11,Invesco Greater China R5,3,8,46,57,,5.862368,5.328571,0.465643,,13.600486,2.001896,-1.51049,,11.389347,2.246801,-0.304645,,-11886496
11517,US Fund China Region,2015 / 12,Invesco Greater China R5,3,5,57,59,,2.483552,2.38587,6.98E-03,,9.912143,0.235831,-1.151334,,10.307854,1.349589,-0.64371,,-180190305
11517,US Fund China Region,2016 / 01,Invesco Greater China R5,3,4,46,48,,-5.777988,-1.609682,-1.622706,,13.04574,0.86293,-0.454924,,15.551017,3.125424,0.32595,,-92757309
11517,US Fund China Region,2016 / 02,Invesco Greater China R5,3,4,33,48,,-9.371401,-1.23048,-1.545031,,11.649184,0.689379,-1.203908,,16.353248,3.042726,0.548805,,-43571992
11517,US Fund China Region,2016 / 03,Invesco Greater China R5,4,3,27,56,1,-3.445239,3.487349,-0.438544,8.569822,10.308483,1.120413,-1.443925,2.723923,15.393079,2.54364,0.461386,1.097832,-49075518
11517,US Fund China Region,2016 / 04,Invesco Greater China R5,5,3,4,27,1,-14.686203,3.853479,-0.52263,8.785515,9.032743,2.700089,-0.61443,3.827383,15.889852,3.355422,0.728812,1.882106,-16501941
11517,US Fund China Region,2016 / 05,Invesco Greater China R5,5,1,12,35,1,-12.771627,3.6794,-0.470776,9.117216,9.433501,2.285898,-0.506715,3.526312,15.677773,3.13869,0.992673,1.727334,-64772633
11517,US Fund China Region,2016 / 06,Invesco Greater China R5,4,1,3,34,1,-8.460267,7.564296,0.701855,9.368178,8.67144,3.693275,-0.52041,3.571722,14.914227,4.197778,1.198623,2.08389,-20614972
11517,US Fund China Region,2016 / 07,Invesco Greater China R5,5,2,8,31,1,3.274363,7.351281,1.653421,9.861047,8.857577,2.855577,-0.517876,3.482494,14.408102,4.169983,1.299487,2.489668,-20783937
